date,start,high,low,volume,close
1996-12-11,49466,49466,47731,79477,47731
1996-12-12,47731,48164,45995,73341,46429
1996-12-13,46429,46429,42784,89792,44780
1996-12-14,44780,44780,42958,53477,43391
1996-12-16,42610,42697,39920,110970,40007
1996-12-17,40788,40788,38358,124990,39226
1996-12-18,39226,41222,38879,103230,39920
1996-12-19,41656,43044,40788,124690,43044
1996-12-20,43391,44086,42958,108540,42958
1996-12-21,42524,42524,40788,54130,41309
1996-12-23,40788,41656,39920,54170,39920
1996-12-24,39920,40788,39920,58710,39920
1996-12-26,40094,40180,38618,72350,38792
1996-12-27,38618,39486,37751,110940,39486
1997-01-03,39486,39931,38597,33690,39130
1997-01-04,36018,38241,36018,65300,36018
1997-01-06,35573,35573,34328,134770,35573
1997-01-07,35573,36374,34684,73800,34951
1997-01-08,35128,37352,34773,148090,37352
1997-01-09,36818,37796,36018,98850,37352
1997-01-10,36551,38152,36551,79310,37619
1997-01-11,37530,38241,37352,48890,38241
1997-01-13,38241,40020,37619,88350,39130
1997-01-14,39130,42243,39130,117980,42243
1997-01-15,42688,44378,42510,180490,43399
1997-01-16,43399,43488,42243,683610,42955
1997-01-17,42955,42955,40998,99780,41354
1997-01-18,41621,41621,39931,79770,40020
1997-01-20,40020,42243,40020,91310,41887
1997-01-21,42243,42243,40198,81800,40464
1997-01-22,40287,40287,39130,81910,39308
1997-01-23,39308,39931,38508,74200,38775
1997-01-24,37263,39664,37263,98260,39130
1997-01-25,39397,40642,39397,47620,39753
1997-01-27,39664,39664,38241,41010,38241
1997-01-28,38241,41265,37885,181900,40464
1997-01-29,41265,42688,40731,194020,41887
1997-01-30,42599,42599,41087,114020,41887
1997-01-31,42065,42599,41887,124380,41887
1997-02-01,41887,42243,40998,56190,41621
1997-02-03,41621,44022,41354,177180,43221
1997-02-04,44111,46601,44022,908410,46601
1997-02-05,47490,48024,45711,264930,46334
1997-02-06,46245,46779,44911,140231,46512
1997-02-10,46512,47935,46245,105570,47935
1997-02-11,48024,48646,47134,130180,48646
1997-02-12,48379,51136,48202,241110,50069
1997-02-13,50247,54071,50247,323720,52470
1997-02-14,52915,54249,52470,187570,52915
1997-02-15,53360,53804,51848,77700,52026
1997-02-17,51581,51848,49625,171950,49802
1997-02-18,49802,51403,49358,164930,50603
1997-02-19,50692,51225,50247,104330,51136
1997-02-20,50692,51581,49980,88710,50336
1997-02-21,49802,50247,46690,143230,47134
1997-02-22,46690,48468,45800,124900,48291
1997-02-24,48735,49536,47579,81070,47846
1997-02-25,48468,51136,47401,109130,50692
1997-02-26,50692,53271,50336,227060,50870
1997-02-27,50870,51581,49980,81090,50959
1997-02-28,50959,52470,50069,148450,51581
1997-03-03,51581,52115,51136,73860,51225
1997-03-04,51136,51225,49447,92870,50247
1997-03-05,49802,50247,48557,153750,48913
1997-03-06,48735,49713,48024,65680,48468
1997-03-07,48913,49802,48646,56770,49091
1997-03-08,49091,49625,48202,201730,48202
1997-03-10,48024,48202,46957,61428,46957
1997-03-11,46779,46779,46067,73980,46245
1997-03-12,46334,48468,46334,60080,47757
1997-03-13,48024,48024,46245,98465,46690
1997-03-14,47134,47134,45800,65100,45978
1997-03-15,45978,47134,45978,35040,47134
1997-03-17,48557,48913,47579,64070,48913
1997-03-18,49358,49802,48646,99602,49802
1997-03-19,49358,49447,48024,56270,49358
1997-03-20,48913,50692,48202,116630,50336
1997-03-21,49447,50247,49002,95580,49625
1997-03-22,49269,49980,49091,43730,49091
1997-03-24,50692,51403,49713,157100,50425
1997-03-25,51136,54249,50870,253810,53804
1997-03-26,53893,54694,52648,298387,53360
1997-03-27,52915,53360,51581,148690,51581
1997-03-28,51581,52915,51225,176870,51937
1997-03-29,51937,53893,51047,88160,52648
1997-03-31,53093,53271,51403,161770,53271
1997-04-01,53715,54427,52559,203480,53360
1997-04-02,53182,55939,52915,249280,55049
1997-04-03,54961,56206,54694,158570,55138
1997-04-04,55138,55583,54694,111430,55138
1997-04-07,55138,57184,54694,172980,56739
